sample_reason,url,language,type,handle,policy_group,matched_terms,language_mismatch_flags,other_flags,status,final_url,redirected,robots_meta,x_robots_tag,canonical,canonical_self,h1,title,fetch_error
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,it,products,campione-a-strisce-armoniche-multicolore,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,no,,,https://www.matchwalls.com/it/products/campione-a-strisce-armoniche-multicolore,yes,Campione a strisce armoniche multicolore,Campione a strisce armoniche multicolore,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-a-strisce-di-armonia-blu,it,products,campione-a-strisce-di-armonia-blu,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-a-strisce-di-armonia-blu,no,,,https://www.matchwalls.com/it/products/campione-a-strisce-di-armonia-blu,yes,Campione a strisce di armonia blu,Campione a strisce di armonia blu,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-classico-da-donna,it,products,campione-blu-classico-da-donna,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-classico-da-donna,no,,,https://www.matchwalls.com/it/products/campione-blu-classico-da-donna,yes,Campione blu classico da donna,Campione blu classico da donna,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-classico-della-griglia,it,products,campione-blu-classico-della-griglia,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-classico-della-griglia,no,,,https://www.matchwalls.com/it/products/campione-blu-classico-della-griglia,yes,Campione blu classico della griglia,Campione blu classico della griglia,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-contemporaneo-tartan,it,products,campione-blu-contemporaneo-tartan,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-contemporaneo-tartan,no,,,https://www.matchwalls.com/it/products/campione-blu-contemporaneo-tartan,yes,Campione blu contemporaneo tartan,Campione blu contemporaneo tartan,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-di-coriandoli-di-citta,it,products,campione-blu-di-coriandoli-di-citta,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-di-coriandoli-di-citta,no,,,https://www.matchwalls.com/it/products/campione-blu-di-coriandoli-di-citta,yes,Campione blu di coriandoli di città,Campione blu di coriandoli di città,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,it,products,campione-blu-fiorente-nebbioso,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,no,,,https://www.matchwalls.com/it/products/campione-blu-fiorente-nebbioso,yes,Campione blu fiorente nebbioso,Campione blu fiorente nebbioso,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,it,products,campione-blu-whisper-wildflower,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,no,,,https://www.matchwalls.com/it/products/campione-blu-whisper-wildflower,yes,Campione blu whisper wildflower,Campione blu whisper wildflower,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/campione-classico-blu-contemporaneo,it,products,campione-classico-blu-contemporaneo,sample_product_candidate,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/products/campione-classico-blu-contemporaneo,no,,,https://www.matchwalls.com/it/products/campione-classico-blu-contemporaneo,yes,Campione classico blu contemporaneo,Campione classico blu contemporaneo,
suffix_1_example,https://www.matchwalls.com/en/products/black-curves-abstract-sample-1,en,products,black-curves-abstract-sample-1,sample_product_candidate,en_sample,,numeric_suffix|suffix_1,200,https://www.matchwalls.com/en/products/black-curves-abstract-sample-1,no,,,https://www.matchwalls.com/en/products/black-curves-abstract-sample-1,yes,Black curves abstract sample,Black curves abstract sample,
suffix_1_example,https://www.matchwalls.com/en/products/golden-woodland-rose-sample-1,en,products,golden-woodland-rose-sample-1,sample_product_candidate,en_sample,,numeric_suffix|suffix_1,200,https://www.matchwalls.com/en/products/golden-woodland-rose-sample-1,no,,,https://www.matchwalls.com/en/products/golden-woodland-rose-sample-1,yes,Golden Woodland Rose sample,Golden Woodland Rose sample,
suffix_1_example,https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,en,products,misty-blossom-blue-sample-1,sample_product_candidate,en_sample,,numeric_suffix|suffix_1,200,https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,no,,,https://www.matchwalls.com/en/products/misty-blossom-blue-sample-1,yes,Misty Blossom Blue Sample,Misty Blossom Blue Sample,
suffix_1_example,https://www.matchwalls.com/en/products/rose-classic-grid-sample-1,en,products,rose-classic-grid-sample-1,sample_product_candidate,en_sample,,numeric_suffix|suffix_1,200,https://www.matchwalls.com/en/products/rose-classic-grid-sample-1,no,,,https://www.matchwalls.com/en/products/rose-classic-grid-sample-1,yes,Rose classic grid sample,Rose classic grid sample,
suffix_1_example,https://www.matchwalls.com/it/products/campione-di-sussurri-della-foresta-grigia-1,it,products,campione-di-sussurri-della-foresta-grigia-1,sample_product_candidate,it_campione,out_of_priority_language,numeric_suffix|suffix_1,200,https://www.matchwalls.com/it/products/campione-di-sussurri-della-foresta-grigia-1,no,,,https://www.matchwalls.com/it/products/campione-di-sussurri-della-foresta-grigia-1,yes,Campione di sussurri della foresta grigia,Campione di sussurri della foresta grigia,
