index,recurso,idioma,mode,url,finalUrl,expectedH1,h1,status,failReasons,qaAssets,mainAssets,canonical,htmlLang,hreflangCount,noindex,textLen,overflowWindow,scrollWidth,innerWidth,cssLeak,consoleErrorCount,consoleErrors
42,Artistas,es,mobile,https://www.matchwalls.com/pages/artistas,https://www.matchwalls.com/pages/artistas?mwqa=010z3-42-1782501828762,Artistas y Diseñadores,Artistas y Diseñadores,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/artistas,es,8,false,5450,0,390,390,false,0,
43,Artistas,fr,desktop,https://www.matchwalls.com/fr/pages/artistes,https://www.matchwalls.com/fr/pages/artistes?mwqa=010z3-43-1782501831989,Artistes et designers — Collaborez avec MatchWalls,Artistes et designers — Collaborez avec MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/artistes,fr,8,false,5999,0,1440,1440,false,0,
44,Artistas,fr,mobile,https://www.matchwalls.com/fr/pages/artistes,https://www.matchwalls.com/fr/pages/artistes?mwqa=010z3-44-1782501836315,Artistes et designers — Collaborez avec MatchWalls,Artistes et designers — Collaborez avec MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/artistes,fr,8,false,6022,0,390,390,false,0,
45,Artistas,de,desktop,https://www.matchwalls.com/de/pages/kunstler,https://www.matchwalls.com/de/pages/kunstler?mwqa=010z3-45-1782501839977,Künstler und Designer — Kooperieren Sie mit MatchWalls,Künstler und Designer — Kooperieren Sie mit MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/kunstler,de,8,false,5872,0,1440,1440,false,0,
46,Artistas,de,mobile,https://www.matchwalls.com/de/pages/kunstler,https://www.matchwalls.com/de/pages/kunstler?mwqa=010z3-46-1782501844046,Künstler und Designer — Kooperieren Sie mit MatchWalls,Künstler und Designer — Kooperieren Sie mit MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/kunstler,de,8,false,5919,0,390,390,false,0,
47,Artistas,en,desktop,https://www.matchwalls.com/en/pages/artists,https://www.matchwalls.com/en/pages/artists?mwqa=010z3-47-1782501846991,Artists and Designers — Collaborate with MatchWalls,Artists and Designers — Collaborate with MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/artists,en,8,false,5071,0,1440,1440,false,0,
48,Artistas,en,mobile,https://www.matchwalls.com/en/pages/artists,https://www.matchwalls.com/en/pages/artists?mwqa=010z3-48-1782501851624,Artists and Designers — Collaborate with MatchWalls,Artists and Designers — Collaborate with MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/artists,en,8,false,5107,0,390,390,false,0,
49,Artistas,nl,desktop,https://www.matchwalls.com/nl/pages/kunstenaars,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010z3-49-1782501855135,Kunstenaars en ontwerpers — Werk samen met MatchWalls,Kunstenaars en ontwerpers — Werk samen met MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/kunstenaars,nl,8,false,5484,0,1440,1440,false,0,
50,Artistas,nl,mobile,https://www.matchwalls.com/nl/pages/kunstenaars,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010z3-50-1782501859489,Kunstenaars en ontwerpers — Werk samen met MatchWalls,Kunstenaars en ontwerpers — Werk samen met MatchWalls,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/kunstenaars,nl,8,false,5537,0,390,390,false,0,
51,Medidas paredes,es,desktop,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes?mwqa=010z3-51-1782501863264,Cómo tomar medidas de paredes,Cómo tomar medidas de paredes,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/medidas-paredes,es,8,false,6239,0,1440,1440,false,0,
