lot,checked_at_utc,user_agent,url,path,robots_allowed,decision,matched_pattern,matched_pattern_len
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.858625+00:00,ChatGPT-User,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.858625+00:00,OAI-AdsBot,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.859626+00:00,OAI-AdsBot,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.859626+00:00,OAI-AdsBot,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.860751+00:00,OAI-AdsBot,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.860751+00:00,OAI-AdsBot,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.860751+00:00,OAI-AdsBot,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.861874+00:00,OAI-AdsBot,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.861874+00:00,OAI-AdsBot,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.862990+00:00,OAI-AdsBot,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
