index,recurso,idioma,mode,url,finalUrl,resolvedUrl,httpStatus,expectedH1,h1,status,failReasons,t46Assets,t45Assets,canonical,htmlLang,hreflangCount,hasPriorityHreflang,noindex,textLen,cssLeak
34,Social prensa y afiliacion,fr,mobile,https://www.matchwalls.com/fr/pages/social-presse-et-affiliation,https://www.matchwalls.com/fr/pages/social-presse-et-affiliation?mwqa=010p-post-34-1782509984109,https://www.matchwalls.com/fr/pages/social-presse-et-affiliation?mwqa=010p-post-34-1782509984109,200,"Collaborations, affiliation et presse","Collaborations, affiliation et presse",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/social-presse-et-affiliation,fr,8,true,false,13607,false
35,Social prensa y afiliacion,de,desktop,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit?mwqa=010p-post-35-1782509984438,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit?mwqa=010p-post-35-1782509984438,200,"Kooperationen, Partner und Presse","Kooperationen, Partner und Presse",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit,de,8,true,false,13574,false
36,Social prensa y afiliacion,de,mobile,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit?mwqa=010p-post-36-1782509985593,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit?mwqa=010p-post-36-1782509985593,200,"Kooperationen, Partner und Presse","Kooperationen, Partner und Presse",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/sozial-presse-und-zugehorigkeit,de,8,true,false,13574,false
37,Social prensa y afiliacion,en,desktop,https://www.matchwalls.com/en/pages/social-press-and-affiliation,https://www.matchwalls.com/en/pages/social-press-and-affiliation?mwqa=010p-post-37-1782509985761,https://www.matchwalls.com/en/pages/social-press-and-affiliation?mwqa=010p-post-37-1782509985761,200,"Collaborations, affiliates and press","Collaborations, affiliates and press",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/social-press-and-affiliation,en,8,true,false,12055,false
38,Social prensa y afiliacion,en,mobile,https://www.matchwalls.com/en/pages/social-press-and-affiliation,https://www.matchwalls.com/en/pages/social-press-and-affiliation?mwqa=010p-post-38-1782509986123,https://www.matchwalls.com/en/pages/social-press-and-affiliation?mwqa=010p-post-38-1782509986123,200,"Collaborations, affiliates and press","Collaborations, affiliates and press",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/social-press-and-affiliation,en,8,true,false,12055,false
39,Social prensa y afiliacion,nl,desktop,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting?mwqa=010p-post-39-1782509986413,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting?mwqa=010p-post-39-1782509986413,200,"Samenwerkingen, affiliate en pers","Samenwerkingen, affiliate en pers",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting,nl,8,true,false,12893,false
40,Social prensa y afiliacion,nl,mobile,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting?mwqa=010p-post-40-1782509986696,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting?mwqa=010p-post-40-1782509986696,200,"Samenwerkingen, affiliate en pers","Samenwerkingen, affiliate en pers",CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/sociale-pers-en-aansluiting,nl,8,true,false,12893,false
41,Artistas,es,desktop,https://www.matchwalls.com/pages/artistas,https://www.matchwalls.com/pages/artistas?mwqa=010p-post-41-1782509986726,https://www.matchwalls.com/pages/artistas?mwqa=010p-post-41-1782509986726,200,Artistas y Diseñadores,Artistas y Diseñadores,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/artistas,es,8,true,false,9766,false
42,Artistas,es,mobile,https://www.matchwalls.com/pages/artistas,https://www.matchwalls.com/pages/artistas?mwqa=010p-post-42-1782509987074,https://www.matchwalls.com/pages/artistas?mwqa=010p-post-42-1782509987074,200,Artistas y Diseñadores,Artistas y Diseñadores,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/artistas,es,8,true,false,9766,false
43,Artistas,fr,desktop,https://www.matchwalls.com/fr/pages/artistes,https://www.matchwalls.com/fr/pages/artistes?mwqa=010p-post-43-1782509987548,https://www.matchwalls.com/fr/pages/artistes?mwqa=010p-post-43-1782509987548,200,Artistes et designers — Collaborez avec MatchWalls,Artistes et designers — Collaborez avec MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/artistes,fr,8,true,false,10395,false
44,Artistas,fr,mobile,https://www.matchwalls.com/fr/pages/artistes,https://www.matchwalls.com/fr/pages/artistes?mwqa=010p-post-44-1782509988147,https://www.matchwalls.com/fr/pages/artistes?mwqa=010p-post-44-1782509988147,200,Artistes et designers — Collaborez avec MatchWalls,Artistes et designers — Collaborez avec MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/artistes,fr,8,true,false,10395,false
45,Artistas,de,desktop,https://www.matchwalls.com/de/pages/kunstler,https://www.matchwalls.com/de/pages/kunstler?mwqa=010p-post-45-1782509988563,https://www.matchwalls.com/de/pages/kunstler?mwqa=010p-post-45-1782509988563,200,Künstler und Designer — Kooperieren Sie mit MatchWalls,Künstler und Designer — Kooperieren Sie mit MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/kunstler,de,8,true,false,10338,false
46,Artistas,de,mobile,https://www.matchwalls.com/de/pages/kunstler,https://www.matchwalls.com/de/pages/kunstler?mwqa=010p-post-46-1782509988879,https://www.matchwalls.com/de/pages/kunstler?mwqa=010p-post-46-1782509988879,200,Künstler und Designer — Kooperieren Sie mit MatchWalls,Künstler und Designer — Kooperieren Sie mit MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/kunstler,de,8,true,false,10338,false
47,Artistas,en,desktop,https://www.matchwalls.com/en/pages/artists,https://www.matchwalls.com/en/pages/artists?mwqa=010p-retry-47-1782510062557,https://www.matchwalls.com/en/pages/artists?mwqa=010p-retry-47-1782510062557,200,Artists and Designers — Collaborate with MatchWalls,Artists and Designers — Collaborate with MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/artists,en,8,true,false,9353,false
48,Artistas,en,mobile,https://www.matchwalls.com/en/pages/artists,https://www.matchwalls.com/en/pages/artists?mwqa=010p-post-48-1782509989270,https://www.matchwalls.com/en/pages/artists?mwqa=010p-post-48-1782509989270,200,Artists and Designers — Collaborate with MatchWalls,Artists and Designers — Collaborate with MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/artists,en,8,true,false,9353,false
49,Artistas,nl,desktop,https://www.matchwalls.com/nl/pages/kunstenaars,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010p-post-49-1782509989840,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010p-post-49-1782509989840,200,Kunstenaars en ontwerpers — Werk samen met MatchWalls,Kunstenaars en ontwerpers — Werk samen met MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/kunstenaars,nl,8,true,false,9954,false
50,Artistas,nl,mobile,https://www.matchwalls.com/nl/pages/kunstenaars,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010p-post-50-1782509989842,https://www.matchwalls.com/nl/pages/kunstenaars?mwqa=010p-post-50-1782509989842,200,Kunstenaars en ontwerpers — Werk samen met MatchWalls,Kunstenaars en ontwerpers — Werk samen met MatchWalls,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/kunstenaars,nl,8,true,false,9954,false
51,Medidas paredes,es,desktop,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes?mwqa=010p-post-51-1782509990578,https://www.matchwalls.com/pages/medidas-paredes?mwqa=010p-post-51-1782509990578,200,Cómo tomar medidas de paredes,Cómo tomar medidas de paredes,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/medidas-paredes,es,8,true,false,13906,false
52,Medidas paredes,es,mobile,https://www.matchwalls.com/pages/medidas-paredes,https://www.matchwalls.com/pages/medidas-paredes?mwqa=010p-post-52-1782509990752,https://www.matchwalls.com/pages/medidas-paredes?mwqa=010p-post-52-1782509990752,200,Cómo tomar medidas de paredes,Cómo tomar medidas de paredes,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/medidas-paredes,es,8,true,false,13906,false
53,Medidas paredes,fr,desktop,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales?mwqa=010p-post-53-1782509991193,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales?mwqa=010p-post-53-1782509991193,200,Comment prendre les mesures d’un mur pour le papier peint,Comment prendre les mesures d’un mur pour le papier peint,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales,fr,8,true,false,14462,false
54,Medidas paredes,fr,mobile,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales?mwqa=010p-post-54-1782509991259,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales?mwqa=010p-post-54-1782509991259,200,Comment prendre les mesures d’un mur pour le papier peint,Comment prendre les mesures d’un mur pour le papier peint,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales,fr,8,true,false,14462,false
55,Medidas paredes,de,desktop,https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt,https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt?mwqa=010p-post-55-1782509991854,https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt?mwqa=010p-post-55-1782509991854,200,Wie man Wände für Tapeten ausmisst — Schritt-für-Schritt-Anleitung,Wie man Wände für Tapeten ausmisst — Schritt-für-Schritt-Anleitung,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt,de,8,true,false,14413,false
