source_path,final_status,redirect_hops,final_url,canonical,h1,title,meta_robots,x_robots_tag,visible_noindex,chain
/collections/papeles-pintados-estilo-maderas,200,1,https://www.matchwalls.com/collections/murales-estilo-maderas,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-maderas -> /collections/murales-estilo-maderas | 200 https://www.matchwalls.com/collections/murales-estilo-maderas
/collections/papeles-pintados-estilo-marmol,200,1,https://www.matchwalls.com/collections/murales-estilo-marmol,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-marmol -> /collections/murales-estilo-marmol | 200 https://www.matchwalls.com/collections/murales-estilo-marmol
/collections/papeles-pintados-estilo-naturaleza,200,1,https://www.matchwalls.com/collections/murales-estilo-naturaleza,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-naturaleza -> /collections/murales-estilo-naturaleza | 200 https://www.matchwalls.com/collections/murales-estilo-naturaleza
/collections/papeles-pintados-estilo-paisaje,ERROR,0,https://www.matchwalls.com/collections/papeles-pintados-estilo-paisaje,,,,,,no,ERROR https://www.matchwalls.com/collections/papeles-pintados-estilo-paisaje ERROR <urlopen error _ssl.c:989: The handshake operation timed out>
/collections/papeles-pintados-infantiles,200,1,https://www.matchwalls.com/collections/kids-murales,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-infantiles -> /collections/kids-murales | 200 https://www.matchwalls.com/collections/kids-murales
/collections/papeles-pintados-old,200,1,https://www.matchwalls.com/collections/murales,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-old -> /collections/murales | 200 https://www.matchwalls.com/collections/murales
/collections/papeles-pintados-para-adolescentes,200,1,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-adolescentes -> /collections/murales-para-habitaciones-de-adolescentes | 200 https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes
/collections/papeles-pintados-para-el-comedor,200,1,https://www.matchwalls.com/collections/murales-para-el-comedor,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-el-comedor -> /collections/murales-para-el-comedor | 200 https://www.matchwalls.com/collections/murales-para-el-comedor
/collections/papeles-pintados-para-el-dormitorio,200,1,https://www.matchwalls.com/collections/murales-para-el-dormitorio,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-el-dormitorio -> /collections/murales-para-el-dormitorio | 200 https://www.matchwalls.com/collections/murales-para-el-dormitorio
/collections/papeles-pintados-para-el-pasillo,200,1,https://www.matchwalls.com/collections/murales-para-el-pasillo,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-el-pasillo -> /collections/murales-para-el-pasillo | 200 https://www.matchwalls.com/collections/murales-para-el-pasillo
/collections/papeles-pintados-para-el-salon,200,1,https://www.matchwalls.com/collections/murales-para-el-salon,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-el-salon -> /collections/murales-para-el-salon | 200 https://www.matchwalls.com/collections/murales-para-el-salon
/collections/papeles-pintados-para-espacio-publico,200,1,https://www.matchwalls.com/collections/murales-para-un-espacio-publico,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-espacio-publico -> /collections/murales-para-un-espacio-publico | 200 https://www.matchwalls.com/collections/murales-para-un-espacio-publico
/collections/papeles-pintados-para-la-cocina,200,1,https://www.matchwalls.com/collections/murales-para-la-cocina,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-la-cocina -> /collections/murales-para-la-cocina | 200 https://www.matchwalls.com/collections/murales-para-la-cocina
/collections/papeles-pintados-para-una-oficina-comercial,200,1,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-una-oficina-comercial -> /collections/murales-para-una-oficina-comercial | 200 https://www.matchwalls.com/collections/murales-para-una-oficina-comercial
/collections/papeles-pintados-para-una-oficina-en-casa,200,1,https://www.matchwalls.com/collections/murales-para-una-oficina-en-casa,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-para-una-oficina-en-casa -> /collections/murales-para-una-oficina-en-casa | 200 https://www.matchwalls.com/collections/murales-para-una-oficina-en-casa
